Date,Open,High,Low,Close,Volume
28-01-2019,10792.45,10804.45,10630.95,10661.55,419682627
29-01-2019,10653.7,10690.35,10583.65,10652.2,356908994
30-01-2019,10702.25,10710.2,10612.85,10651.8,410107910
31-01-2019,10690.55,10838.05,10678.55,10830.95,604818027
01-02-2019,10851.35,10983.45,10813.45,10893.65,482272661
04-02-2019,10876.75,10927.9,10814.15,10912.25,318300039
05-02-2019,10908.65,10956.7,10886.7,10934.35,268095127
06-02-2019,10965.1,11072.6,10962.7,11062.45,298510497
07-02-2019,11070.45,11118.1,11043.6,11069.4,263544426
08-02-2019,11023.5,11041.2,10925.45,10943.6,352787419
11-02-2019,10930.9,10930.9,10857.1,10888.8,285985383
12-02-2019,10879.7,10910.9,10823.8,10831.4,292314643
13-02-2019,10870.55,10891.65,10772.1,10793.65,321958549
14-02-2019,10786.1,10792.7,10718.75,10746.05,627041405
15-02-2019,10780.25,10785.75,10620.4,10724.4,521876968
18-02-2019,10738.65,10759.9,10628.4,10640.95,345440240
19-02-2019,10636.7,10722.85,10585.65,10604.35,291507060
20-02-2019,10655.45,10752.7,10646.4,10735.45,289195306
21-02-2019,10744.1,10808.85,10721.5,10789.85,279584955
22-02-2019,10782.7,10801.55,10758.4,10791.65,396846597
25-02-2019,10813.25,10887.1,10788.05,10880.1,385905142
26-02-2019,10775.3,10888.75,10729.3,10835.3,414954476
27-02-2019,10881.2,10939.7,10751.2,10806.65,381080073
28-02-2019,10865.7,10865.7,10784.85,10792.5,644159018
01-03-2019,10842.65,10877.9,10823.1,10863.5,308526309
05-03-2019,10864.85,10994.9,10817,10987.45,373220239
06-03-2019,11024.85,11062.3,10998.85,11053,372550850
07-03-2019,11077.95,11089.05,11027.1,11058.2,321208766
08-03-2019,11038.85,11049,11008.95,11035.4,326569833
11-03-2019,11068.75,11180.9,11059.85,11168.05,352242287
12-03-2019,11231.35,11320.4,11227,11301.2,391310519
13-03-2019,11326.2,11352.3,11276.6,11341.7,382996187
14-03-2019,11382.5,11383.45,11313.75,11343.25,294480678
15-03-2019,11376.85,11487,11370.8,11426.85,463704896
18-03-2019,11473.85,11530.15,11412.5,11462.2,320250041
19-03-2019,11500.3,11543.85,11451.25,11532.4,326099667
20-03-2019,11553.35,11556.1,11503.1,11521.05,366298049
22-03-2019,11549.2,11572.8,11434.55,11456.9,386193935
25-03-2019,11395.65,11395.65,11311.6,11354.25,294459196
26-03-2019,11375.2,11496.75,11352.45,11483.25,282575496
27-03-2019,11531.45,11546.2,11413,11445.05,350446089
28-03-2019,11463.65,11588.5,11452.45,11570,527678809
29-03-2019,11625.45,11630.35,11570.15,11623.9,416276981
01-04-2019,11665.2,11738.1,11644.75,11669.15,379572660
02-04-2019,11711.55,11729.35,11655.85,11713.2,386131413
03-04-2019,11735.3,11761,11629.15,11643.95,365760070
04-04-2019,11660.2,11662.55,11559.2,11598,349029830
05-04-2019,11638.4,11689.65,11609.5,11665.95,266665797
08-04-2019,11704.35,11710.3,11549.1,11604.5,260932608
09-04-2019,11612.05,11683.9,11569.7,11671.95,300467538
10-04-2019,11646.85,11680.05,11571.75,11584.3,359941110
11-04-2019,11592.55,11606.7,11550.55,11596.7,279775726
12-04-2019,11612.85,11657.35,11578.8,11643.45,246006184
15-04-2019,11667,11704.6,11648.25,11690.35,289996075
16-04-2019,11736.2,11810.95,11731.55,11787.15,354315040
18-04-2019,11856.15,11856.15,11738.5,11752.8,339653709
22-04-2019,11727.05,11727.05,11583.95,11594.45,260356055
23-04-2019,11612.95,11645.95,11564.8,11575.95,272544486
24-04-2019,11601.5,11740.85,11578.85,11726.15,335196513
25-04-2019,11735.7,11796.75,11624.3,11641.8,604360395
26-04-2019,11683.75,11762.9,11661.75,11754.65,333483764
30-04-2019,11748.75,11756.25,11655.9,11748.15,532630874
02-05-2019,11725.55,11789.3,11699.55,11724.75,380278045
03-05-2019,11722.6,11770.9,11699.35,11712.25,305519934
06-05-2019,11605.8,11632.55,11571.35,11598.25,299046480
07-05-2019,11651.5,11657.05,11484.45,11497.9,337495624
08-05-2019,11478.7,11479.1,11346.95,11359.45,372826025
09-05-2019,11322.4,11357.6,11255.05,11301.8,373028059
10-05-2019,11314.15,11345.8,11251.05,11278.9,387323416
13-05-2019,11258.7,11300.2,11125.6,11148.2,357586433
14-05-2019,11151.65,11294.75,11108.3,11222.05,398122725
15-05-2019,11271.7,11286.8,11136.95,11157,414174258
